Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
30,tt0096657,2018-10-03,2018-10-03,,"Mr. Bean","Mr. Bean",https://www.imdb.com/title/tt0096657/,TV Series,8.6,25,1990,"Comedy, Family",149781,1992-04-02,,8,2018-10-03
31,tt0898266,2018-10-03,2018-10-03,,"The Big Bang Theory","The Big Bang Theory",https://www.imdb.com/title/tt0898266/,TV Series,8.1,22,2007,"Comedy, Romance",931614,2007-09-24,,7,2018-10-03
32,tt1518542,2018-10-03,2018-10-03,,"Sarabhai V/S Sarabhai","Sarabhai V/S Sarabhai",https://www.imdb.com/title/tt1518542/,TV Series,8.8,30,2004,"Comedy",19795,2004-11-08,,8,2018-10-03
33,tt1632701,2018-10-03,2018-10-03,,"Suits","Suits",https://www.imdb.com/title/tt1632701/,TV Series,8.4,45,2011,"Comedy, Drama",534773,2011-06-23,,7,2018-10-03
34,tt2431438,2018-10-03,2018-10-03,,"Sense8","Sense8",https://www.imdb.com/title/tt2431438/,TV Series,8.2,60,2015,"Drama, Mystery, Sci-Fi, Thriller",170791,2015-06-05,,7,2018-10-03
35,tt0883772,2018-10-03,2018-10-03,,"Man vs. Wild","Man vs. Wild",https://www.imdb.com/title/tt0883772/,TV Series,8.1,60,2006,"Adventure, Reality-TV",23868,2006-10-27,,8,2018-10-03
36,tt0892700,2018-12-31,2018-12-31,,"The Penguins of Madagascar","The Penguins of Madagascar",https://www.imdb.com/title/tt0892700/,TV Series,7.5,11,2008,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi",24882,2008-11-29,,9,2018-12-31
37,tt1545214,2018-12-31,2018-12-31,,"Kung Fu Panda: Legends of Awesomeness","Kung Fu Panda: Legends of Awesomeness",https://www.imdb.com/title/tt1545214/,TV Series,7.0,22,2011,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",8832,2011-09-19,,8,2018-12-31
38,tt1582350,2018-12-31,2018-12-31,,"Episodes","Episodes",https://www.imdb.com/title/tt1582350/,TV Series,7.8,30,2011,"Comedy",37660,2011-01-09,,7,2018-12-31
39,tt7366338,2019-06-06,2019-06-06,,"Chernobyl","Chernobyl",https://www.imdb.com/title/tt7366338/,TV Mini Series,9.3,60,2019,"Drama, History, Thriller",1017204,2019-05-06,,10,2019-06-06
40,tt5673782,2019-07-08,2019-07-08,,"Genius","Genius",https://www.imdb.com/title/tt5673782/,TV Series,8.2,50,2017,"Biography, Drama, History",21069,2017-04-25,,8,2019-07-08
41,tt0185906,2019-08-10,2019-08-10,,"Band of Brothers","Band of Brothers",https://www.imdb.com/title/tt0185906/,TV Mini Series,9.4,60,2001,"Action, Drama, History, War",587962,2001-09-09,,9,2019-08-10
42,tt0264235,2020-02-25,2020-02-25,,"Curb Your Enthusiasm","Curb Your Enthusiasm",https://www.imdb.com/title/tt0264235/,TV Series,8.8,30,2000,"Comedy",165294,2000-10-15,,9,2020-02-25
43,tt0072500,2020-04-06,2020-04-06,,"Fawlty Towers","Fawlty Towers",https://www.imdb.com/title/tt0072500/,TV Series,8.8,30,1975,"Comedy",110794,1975-09-19,,9,2018-10-03
44,tt11823076,2020-04-13,2020-04-13,,"Tiger King","Tiger King",https://www.imdb.com/title/tt11823076/,TV Series,7.5,45,2020,"Documentary, Biography, Crime",90591,2020-03-20,,7,2020-04-13
45,tt11912196,2020-05-18,2020-05-18,,"Asur: Welcome to Your Dark Side","Asur: Welcome to Your Dark Side",https://www.imdb.com/title/tt11912196/,TV Series,8.5,43,2020,"Crime, Drama, Mystery, Thriller",70379,2020-03-02,,7,2020-05-18
46,tt5180504,2020-06-05,2020-06-05,,"The Witcher","The Witcher",https://www.imdb.com/title/tt5180504/,TV Series,7.9,60,2019,"Action, Adventure, Drama, Fantasy, Mystery",617929,2019-12-20,,6,2020-06-05
47,tt9612516,2020-06-08,2020-06-08,,"Space Force","Space Force",https://www.imdb.com/title/tt9612516/,TV Series,6.7,30,2020,"Comedy",75350,2020-05-29,,6,2020-06-08
48,tt7137906,2020-07-10,2020-07-10,,"When They See Us","When They See Us",https://www.imdb.com/title/tt7137906/,TV Mini Series,8.8,75,2019,"Biography, Crime, Drama, History",157261,2019-05-31,,9,2020-07-10
49,tt1321865,2020-07-16,2020-07-16,,"Carlos","Carlos",https://www.imdb.com/title/tt1321865/,TV Mini Series,7.6,111,2010,"Biography, Crime, Drama, Thriller",14983,2010-10-11,,7,2020-07-16
50,tt3910804,2020-08-13,2020-08-13,,"War & Peace","War & Peace",https://www.imdb.com/title/tt3910804/,TV Mini Series,8.1,63,2016,"Drama, History, Romance, War",29444,2016-01-18,,8,2020-08-31
51,tt5618256,2020-08-20,2020-08-20,,"Manhunt","Manhunt",https://www.imdb.com/title/tt5618256/,TV Series,8.1,,2017,"Biography, Crime, Drama, Thriller",66693,2017-08-01,,8,2020-08-31
52,tt9815454,2020-08-28,2020-08-28,,"Unorthodox","Unorthodox",https://www.imdb.com/title/tt9815454/,TV Mini Series,8.0,50,2020,"Drama",98470,2020-03-26,,7,2020-08-28
53,tt6866266,2020-11-01,2020-11-01,,"Escape at Dannemora","Escape at Dannemora",https://www.imdb.com/title/tt6866266/,TV Mini Series,7.9,60,2018,"Biography, Crime, Drama, Thriller",33526,2018-11-18,,8,2020-11-01
54,tt5952634,2020-11-06,2020-11-06,,"The Spy","The Spy",https://www.imdb.com/title/tt5952634/,TV Mini Series,7.9,60,2019,"Biography, Drama, History, Thriller",56430,2019-09-06,,6,2020-11-06
55,tt12392504,2021-02-26,2021-02-26,,"Scam 1992: The Harshad Mehta Story","Scam 1992: The Harshad Mehta Story",https://www.imdb.com/title/tt12392504/,TV Mini Series,9.2,60,2020,"Biography, Crime, Drama, Thriller",171869,2020-10-09,,7,2021-02-26
56,tt14392248,2021-05-10,2021-05-10,,"Aspirants","Aspirants",https://www.imdb.com/title/tt14392248/,TV Series,9.1,45,2021,"Drama",317649,2021-04-07,,6,2021-05-10
57,tt0080306,2021-05-23,2021-05-23,,"Yes Minister","Yes Minister",https://www.imdb.com/title/tt0080306/,TV Series,8.6,30,1980,"Comedy",18727,1980-02-25,,8,2021-05-23
