Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0468569,2021-08-01,2021-08-01,,"The Dark Knight","The Dark Knight",https://www.imdb.com/title/tt0468569/,Movie,9.1,152,2008,"Action, Crime, Drama, Thriller",3138056,2008-07-18,"Christopher Nolan",10,2012-01-04
2,tt1345836,2021-08-01,2021-08-01,,"The Dark Knight Rises","The Dark Knight Rises",https://www.imdb.com/title/tt1345836/,Movie,8.4,164,2012,"Action, Crime, Drama, Thriller",1978465,2012-07-20,"Christopher Nolan",10,2020-09-19
3,tt7366338,2021-08-01,2021-08-01,,"Chernobyl","Chernobyl",https://www.imdb.com/title/tt7366338/,TV Mini Series,9.3,60,2019,"Drama, History, Thriller",1017204,2019-05-06,,10,2019-06-06
4,tt0482571,2021-08-01,2021-08-01,,"The Prestige","The Prestige",https://www.imdb.com/title/tt0482571/,Movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1573879,2006-10-20,"Christopher Nolan",9,2012-01-04
5,tt0325980,2021-08-01,2021-08-01,,"Pirates of the Caribbean: The Curse of the Black Pearl","Pirates of the Caribbean: The Curse of the Black Pearl",https://www.imdb.com/title/tt0325980/,Movie,8.1,143,2003,"Action, Adventure, Fantasy",1313291,2003-07-09,"Gore Verbinski",8,2012-01-04
6,tt0383574,2021-08-01,2021-08-01,,"Pirates of the Caribbean: Dead Man's Chest","Pirates of the Caribbean: Dead Man's Chest",https://www.imdb.com/title/tt0383574/,Movie,7.4,151,2006,"Action, Adventure, Fantasy",820282,2006-07-07,"Gore Verbinski",8,2012-01-04
7,tt0449088,2021-08-01,2021-08-01,,"Pirates of the Caribbean: At World's End","Pirates of the Caribbean: At World's End",https://www.imdb.com/title/tt0449088/,Movie,7.1,169,2007,"Action, Adventure, Fantasy",739065,2007-05-25,"Gore Verbinski",8,2012-01-04
8,tt0133093,2021-08-01,2021-08-01,,"The Matrix","The Matrix",https://www.imdb.com/title/tt0133093/,Movie,8.7,136,1999,"Action, Sci-Fi",2229574,1999-03-31,"Lana Wachowski, Lilly Wachowski",8,2012-01-04
9,tt0242653,2021-08-01,2021-08-01,,"The Matrix Revolutions","The Matrix Revolutions",https://www.imdb.com/title/tt0242653/,Movie,6.7,129,2003,"Action, Sci-Fi",572595,2003-11-05,"Lana Wachowski, Lilly Wachowski",8,2012-01-04
10,tt0234215,2021-08-01,2021-08-01,,"The Matrix Reloaded","The Matrix Reloaded",https://www.imdb.com/title/tt0234215/,Movie,7.2,138,2003,"Action, Sci-Fi",666905,2003-05-15,"Lana Wachowski, Lilly Wachowski",8,2012-01-04
11,tt0361748,2025-04-23,2025-04-23,,"Inglourious Basterds","Inglourious Basterds",https://www.imdb.com/title/tt0361748/,Movie,8.4,153,2009,"Adventure, Drama, War",1764618,2009-08-21,"Quentin Tarantino",10,2012-01-04
12,tt1045658,2025-12-04,2025-12-04,,"Silver Linings Playbook","Silver Linings Playbook",https://www.imdb.com/title/tt1045658/,Movie,7.7,122,2012,"Comedy, Drama, Romance",770749,2012-12-25,"David O. Russell",8,2013-02-09
13,tt1568346,2026-02-03,2026-02-03,,"The Girl with the Dragon Tattoo","The Girl with the Dragon Tattoo",https://www.imdb.com/title/tt1568346/,Movie,7.8,158,2011,"Crime, Drama, Mystery, Thriller",525713,2011-12-21,"David Fincher",8,2012-03-21
