To,From,GSDP (Current)  (Rs. in Crore)
India,South,1843134
India,West,1604274
India,Centre,1067071
India,East,989325
India,North,940698
India,Union Territory,290202
India,North East,188856
West,Maharashtra,1049150
Centre,Uttar Pradesh,600286
South,Tamil Nadu,584896
South,Andhra Pradesh ,583762
West,Gujarat,521519
East,West Bengal,460959
South,Karnataka ,410703
North,Rajasthan ,338348
South,Kerala,263773
Centre,Madhya Pradesh,263396
North,Haryana ,260621
Union Territory,Delhi ,252753
North,Punjab,226204
East,Bihar,203555
East,Odisha ,197530
East,Jharkhand,127281
Centre,Chhattisgarh,119420
North East,Assam,112688
Centre,Uttarakhand ,83969
North,Jammu & Kashmir,58073
North,Himachal Pradesh,57452
West,Goa ,33605
Union Territory,Chandigarh,20014
North East,Tripura ,17868
North East,Meghalaya,14583
Union Territory,Puducherry,13092
North East,Nagaland,11759
North East,Manipur,9137
North East,Arunachal Pradesh,9021
North East,Sikkim ,7412
North East,Mizoram,6388
Union Territory,Andaman & Nicobar Islands,4343
